,distance,moving_time,start_date_local,average_watts,average_heartrate,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,Power Zone 1,Power Zone 2,Power Zone 3,Power Zone 4,Power Zone 5,Power Zone 6,Power Zone 7,Power Zone 8,Power Zone 9,Power Zone 10,Power Zone 11,ftp
28,34596.9,4758,2023-09-08T09:59:09Z,162.3,144.4,390.0,3137.0,259.0,778.0,194.0,647.0,76.0,489.0,649.0,1362.0,532.0,841.0,115.0,27.0,7.0,13.0,109.99258333333333
29,33563.4,4768,2023-09-06T07:58:35Z,167.4,137.4,1393.0,1788.0,602.0,985.0,0.0,610.0,38.0,700.0,631.0,1135.0,427.0,926.0,244.0,25.0,22.0,10.0,80.76424999999999
30,33478.4,4544,2023-09-04T08:02:17Z,158.0,135.0,823.0,3338.0,383.0,0.0,0.0,328.0,24.0,416.0,782.0,2193.0,611.0,124.0,26.0,16.0,12.0,12.0,94.37537499999999
31,58915.0,8095,2023-09-01T06:58:15Z,167.0,140.4,1103.0,4573.0,933.0,1486.0,0.0,663.0,128.0,1043.0,1101.0,2360.0,1497.0,1156.0,95.0,23.0,10.0,19.0,103.68220833333334
32,33616.4,4937,2023-08-29T06:15:45Z,145.2,136.5,559.0,3219.0,906.0,253.0,0.0,571.0,285.0,785.0,875.0,1046.0,664.0,640.0,45.0,22.0,4.0,0.0,79.23791666666666
33,33372.7,5723,2023-08-26T10:20:04Z,97.6,122.4,773.0,4898.0,47.0,5.0,0.0,518.0,215.0,2429.0,2035.0,338.0,116.0,27.0,14.0,8.0,2.0,21.0,87.625625
35,43479.3,6386,2023-08-22T06:35:04Z,150.5,140.0,466.0,3997.0,1127.0,796.0,0.0,745.0,470.0,1385.0,1232.0,514.0,374.0,1058.0,432.0,29.0,52.0,95.0,102.35775
37,88910.8,10723,2023-08-20T06:01:05Z,171.9,150.1,57.0,6711.0,3057.0,898.0,0.0,1863.0,159.0,468.0,1255.0,3371.0,2050.0,558.0,345.0,251.0,131.0,272.0,180.31079166666666
38,73837.7,9987,2023-08-19T08:58:29Z,164.0,138.9,869.0,8339.0,779.0,0.0,0.0,524.0,50.0,601.0,1133.0,6217.0,1175.0,219.0,53.0,13.0,2.0,0.0,86.85137499999999
39,36848.7,5074,2023-08-18T08:51:56Z,160.1,131.4,703.0,4361.0,10.0,0.0,0.0,441.0,44.0,371.0,474.0,2940.0,627.0,109.0,26.0,11.0,8.0,23.0,110.23720833333333
40,35770.8,4983,2023-08-17T06:43:33Z,154.2,134.3,462.0,4521.0,0.0,0.0,0.0,373.0,59.0,357.0,756.0,2909.0,441.0,39.0,17.0,13.0,4.0,15.0,100.36274999999999
42,57272.4,8838,2023-08-15T07:42:21Z,139.4,140.2,752.0,6132.0,853.0,1101.0,0.0,1223.0,625.0,1768.0,1424.0,1923.0,341.0,757.0,581.0,92.0,44.0,60.0,92.37720833333333
44,64861.7,8188,2023-08-13T05:55:58Z,157.4,143.3,301.0,5488.0,1430.0,969.0,0.0,1874.0,202.0,792.0,1319.0,1466.0,1003.0,479.0,411.0,271.0,153.0,218.0,131.94470833333332
45,76010.5,10223,2023-08-11T07:35:28Z,156.3,134.5,525.0,9694.0,4.0,0.0,0.0,779.0,60.0,482.0,1946.0,5671.0,949.0,189.0,109.0,27.0,7.0,4.0,101.64129166666666
46,57479.5,7784,2023-08-10T07:17:13Z,155.5,133.4,631.0,7153.0,0.0,0.0,0.0,410.0,55.0,434.0,1600.0,4488.0,650.0,99.0,23.0,10.0,6.0,9.0,102.04820833333333
48,53449.0,7840,2023-08-08T08:12:16Z,138.6,143.3,405.0,5507.0,665.0,1263.0,0.0,993.0,496.0,1882.0,1537.0,1208.0,231.0,550.0,762.0,107.0,44.0,30.0,100.70237499999999
50,64586.2,8235,2023-08-06T05:52:32Z,141.9,145.1,406.0,5457.0,1177.0,1195.0,0.0,2725.0,115.0,587.0,994.0,1445.0,923.0,518.0,336.0,212.0,136.0,244.0,143.0715833333333
51,47595.1,6285,2023-08-04T08:57:15Z,156.5,139.1,184.0,6093.0,8.0,0.0,0.0,401.0,23.0,287.0,1038.0,4016.0,414.0,68.0,26.0,10.0,2.0,0.0,117.84116666666667
53,72220.6,11331,2023-08-02T07:12:51Z,130.8,136.8,795.0,8765.0,386.0,1371.0,14.0,1665.0,446.0,1885.0,3699.0,1590.0,520.0,971.0,351.0,144.0,38.0,22.0,82.14966666666666
55,63408.3,7844,2023-07-30T05:50:07Z,149.1,152.7,178.0,3826.0,2653.0,1128.0,59.0,1870.0,326.0,1068.0,1320.0,1072.0,768.0,424.0,327.0,242.0,155.0,272.0,107.94375
57,51423.6,7330,2023-07-25T07:06:42Z,141.6,139.6,836.0,4255.0,1798.0,441.0,0.0,1112.0,652.0,1557.0,1614.0,963.0,188.0,121.0,249.0,367.0,265.0,242.0,78.32116666666666
59,65188.8,8407,2023-07-23T05:46:44Z,141.3,137.9,885.0,5493.0,1382.0,647.0,0.0,1773.0,217.0,1270.0,2184.0,1237.0,475.0,392.0,268.0,186.0,141.0,264.0,79.77308333333333
60,103528.0,15776,2023-07-22T08:05:58Z,150.6,144.2,1074.0,9067.0,4620.0,1015.0,0.0,2397.0,283.0,1468.0,3164.0,2752.0,4157.0,1374.0,150.0,23.0,4.0,4.0,95.20741666666666
61,84458.3,12254,2023-07-20T07:41:39Z,153.5,145.0,794.0,6704.0,4255.0,501.0,0.0,1351.0,266.0,999.0,2849.0,2847.0,3156.0,699.0,64.0,14.0,6.0,3.0,83.62454166666667
63,44179.4,6294,2023-07-18T07:25:35Z,140.2,143.3,502.0,3933.0,744.0,1115.0,0.0,695.0,638.0,1363.0,1187.0,831.0,301.0,704.0,396.0,114.0,51.0,14.0,99.11904166666666
65,63451.9,7800,2023-07-16T05:45:06Z,143.0,141.4,633.0,4790.0,1660.0,717.0,0.0,1988.0,259.0,1059.0,1539.0,955.0,606.0,457.0,300.0,206.0,136.0,295.0,52.31808333333333
66,93669.4,11380,2023-07-15T05:18:38Z,159.1,150.0,144.0,6390.0,3532.0,1314.0,0.0,2537.0,268.0,1088.0,1997.0,1683.0,1305.0,1016.0,684.0,351.0,188.0,263.0,50.348416666666665
67,65439.7,9425,2023-07-13T07:27:53Z,151.9,144.7,454.0,6255.0,1953.0,763.0,0.0,1090.0,163.0,656.0,1765.0,3449.0,1816.0,405.0,59.0,18.0,4.0,0.0,93.67554166666666
69,48489.8,6774,2023-07-11T07:43:44Z,149.5,145.3,220.0,4380.0,1269.0,905.0,0.0,541.0,648.0,1369.0,1384.0,945.0,349.0,816.0,533.0,130.0,41.0,18.0,91.72091666666667
70,65290.2,8055,2023-07-09T06:20:06Z,151.6,150.6,162.0,4881.0,1415.0,1504.0,93.0,1501.0,305.0,876.0,1832.0,1592.0,650.0,378.0,330.0,191.0,141.0,259.0,140.1028333333333
71,72151.5,10956,2023-07-07T06:26:34Z,130.2,138.3,493.0,8580.0,487.0,1396.0,0.0,1594.0,392.0,1919.0,3185.0,1674.0,855.0,1009.0,253.0,56.0,14.0,5.0,90.69887499999999
72,33218.1,4769,2023-07-04T08:21:38Z,129.0,136.1,224.0,4203.0,249.0,93.0,0.0,405.0,295.0,1130.0,1374.0,1089.0,236.0,88.0,40.0,18.0,18.0,76.0,109.8105
73,67299.2,8458,2023-07-02T06:17:13Z,153.8,147.4,199.0,5566.0,1448.0,1245.0,0.0,960.0,694.0,1627.0,1448.0,1478.0,784.0,507.0,385.0,221.0,128.0,226.0,
74,61210.3,7867,2023-06-30T05:47:35Z,140.0,137.9,1225.0,4637.0,1675.0,330.0,0.0,995.0,922.0,1484.0,1250.0,1147.0,847.0,639.0,284.0,97.0,64.0,138.0,
75,74837.2,10573,2023-06-28T06:19:05Z,138.5,138.4,1412.0,7013.0,2081.0,67.0,0.0,1506.0,1016.0,1694.0,1866.0,1676.0,1523.0,553.0,259.0,305.0,99.0,76.0,
77,1419.9,257,2023-06-27T08:49:23Z,75.8,105.2,241.0,16.0,0.0,0.0,0.0,57.0,67.0,86.0,21.0,13.0,3.0,2.0,1.0,2.0,0.0,5.0,
78,2358.5,424,2023-06-26T22:54:28Z,70.5,105.6,268.0,156.0,0.0,0.0,0.0,67.0,100.0,162.0,59.0,28.0,4.0,0.0,1.0,0.0,0.0,3.0,
79,2373.5,445,2023-06-26T14:09:56Z,61.6,114.0,207.0,238.0,0.0,0.0,0.0,85.0,111.0,186.0,41.0,16.0,2.0,0.0,2.0,0.0,0.0,2.0,
80,25727.7,3946,2023-06-26T06:50:22Z,97.3,120.7,1011.0,2920.0,15.0,0.0,0.0,544.0,427.0,1591.0,837.0,114.0,179.0,175.0,29.0,28.0,15.0,7.0,
81,13587.9,1952,2023-06-25T08:57:04Z,100.6,132.7,24.0,1947.0,0.0,0.0,0.0,322.0,376.0,400.0,423.0,246.0,100.0,48.0,26.0,15.0,6.0,9.0,
82,39187.6,4328,2023-06-25T07:01:11Z,215.7,155.8,79.0,1753.0,1365.0,1168.0,0.0,490.0,355.0,362.0,506.0,536.0,521.0,383.0,344.0,299.0,221.0,348.0,
83,12470.3,1735,2023-06-25T06:17:42Z,128.1,129.9,158.0,1494.0,83.0,0.0,0.0,165.0,138.0,411.0,459.0,297.0,96.0,88.0,35.0,20.0,18.0,8.0,
84,162929.0,21748,2023-06-23T05:51:09Z,153.9,146.5,980.0,12693.0,5800.0,2275.0,0.0,2766.0,1747.0,3149.0,4326.0,2839.0,2826.0,2083.0,767.0,671.0,315.0,259.0,
85,2209.9,428,2023-06-21T20:02:12Z,79.3,105.1,341.0,87.0,0.0,0.0,0.0,75.0,110.0,146.0,41.0,22.0,7.0,8.0,6.0,5.0,2.0,6.0,
86,2353.4,451,2023-06-21T15:41:17Z,62.5,115.8,214.0,237.0,0.0,0.0,0.0,106.0,84.0,192.0,50.0,13.0,1.0,0.0,1.0,1.0,0.0,3.0,
87,1493.6,329,2023-06-21T12:45:08Z,52.0,115.5,144.0,185.0,0.0,0.0,0.0,53.0,116.0,126.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,
88,1405.2,273,2023-06-21T11:43:14Z,63.0,112.2,135.0,138.0,0.0,0.0,0.0,61.0,64.0,110.0,19.0,8.0,3.0,3.0,1.0,0.0,1.0,3.0,
89,84594.1,12453,2023-06-21T05:56:44Z,105.7,127.2,965.0,11488.0,0.0,0.0,0.0,1425.0,1473.0,4486.0,2127.0,1270.0,994.0,547.0,24.0,90.0,11.0,6.0,
90,2347.2,434,2023-06-20T22:56:34Z,80.6,109.2,278.0,156.0,0.0,0.0,0.0,98.0,91.0,143.0,36.0,29.0,3.0,8.0,11.0,9.0,4.0,2.0,
91,2341.4,458,2023-06-20T14:13:06Z,61.6,110.5,245.0,213.0,0.0,0.0,0.0,83.0,127.0,177.0,47.0,18.0,0.0,0.0,0.0,0.0,0.0,6.0,
92,1228.3,314,2023-06-20T12:25:42Z,37.9,95.0,314.0,0.0,0.0,0.0,0.0,54.0,187.0,50.0,18.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,
94,1249.3,312,2023-06-20T09:29:58Z,37.1,99.9,312.0,0.0,0.0,0.0,0.0,82.0,144.0,73.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,
95,2612.7,501,2023-06-19T22:54:00Z,89.5,109.8,333.0,168.0,0.0,0.0,0.0,118.0,83.0,176.0,53.0,27.0,7.0,9.0,6.0,7.0,1.0,14.0,
96,2320.1,422,2023-06-19T14:13:29Z,74.1,114.4,149.0,273.0,0.0,0.0,0.0,78.0,81.0,165.0,49.0,31.0,7.0,3.0,6.0,2.0,0.0,0.0,
97,35744.2,5679,2023-06-19T06:33:07Z,90.3,114.4,3107.0,2572.0,0.0,0.0,0.0,823.0,625.0,2304.0,1415.0,119.0,155.0,185.0,23.0,9.0,10.0,11.0,
98,63467.2,7870,2023-06-18T06:15:17Z,161.2,146.7,335.0,4756.0,1832.0,946.0,1.0,1110.0,621.0,1398.0,1437.0,841.0,731.0,549.0,337.0,314.0,199.0,333.0,
99,94668.1,11812,2023-06-16T05:06:43Z,167.0,146.9,436.0,7479.0,3076.0,818.0,3.0,1166.0,844.0,1472.0,2320.0,1933.0,1727.0,975.0,609.0,411.0,154.0,201.0,
100,2313.5,487,2023-06-14T20:04:29Z,54.6,107.7,362.0,125.0,0.0,0.0,0.0,93.0,199.0,131.0,42.0,13.0,1.0,1.0,0.0,1.0,3.0,3.0,
101,2431.0,510,2023-06-14T15:43:08Z,56.0,117.1,135.0,375.0,0.0,0.0,0.0,141.0,136.0,175.0,38.0,12.0,0.0,0.0,1.0,1.0,1.0,5.0,
102,83907.2,11920,2023-06-14T06:33:53Z,110.7,134.4,814.0,10788.0,318.0,0.0,0.0,1294.0,1244.0,3232.0,3612.0,1017.0,681.0,611.0,138.0,64.0,19.0,8.0,
103,2392.0,462,2023-06-13T22:55:39Z,60.5,106.9,423.0,39.0,0.0,0.0,0.0,82.0,128.0,183.0,40.0,21.0,2.0,2.0,1.0,0.0,3.0,0.0,
104,2570.5,469,2023-06-13T14:12:35Z,70.7,113.5,213.0,256.0,0.0,0.0,0.0,108.0,82.0,174.0,54.0,37.0,6.0,3.0,3.0,0.0,0.0,2.0,
106,1250.6,266,2023-06-13T09:45:43Z,51.7,91.4,261.0,5.0,0.0,0.0,0.0,74.0,69.0,79.0,35.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,
107,2327.1,461,2023-06-12T22:56:33Z,51.2,102.2,461.0,0.0,0.0,0.0,0.0,62.0,188.0,161.0,34.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,
108,2392.7,466,2023-06-12T14:11:23Z,67.7,114.6,242.0,224.0,0.0,0.0,0.0,111.0,100.0,187.0,32.0,25.0,0.0,1.0,2.0,1.0,0.0,7.0,
109,32042.1,4749,2023-06-12T06:17:48Z,98.0,126.1,862.0,3887.0,0.0,0.0,0.0,602.0,367.0,2008.0,1147.0,71.0,254.0,248.0,23.0,13.0,11.0,5.0,
110,62775.3,7947,2023-06-11T06:16:46Z,162.1,153.2,108.0,3767.0,2519.0,1539.0,14.0,984.0,564.0,1456.0,1790.0,839.0,628.0,516.0,300.0,305.0,222.0,343.0,
111,2334.0,409,2023-06-09T21:03:32Z,81.0,113.5,210.0,199.0,0.0,0.0,0.0,76.0,71.0,112.0,101.0,32.0,11.0,4.0,0.0,1.0,1.0,0.0,
112,2540.7,468,2023-06-09T15:42:16Z,71.4,112.7,254.0,214.0,0.0,0.0,0.0,101.0,99.0,175.0,55.0,25.0,4.0,2.0,2.0,0.0,0.0,5.0,
113,2056.5,339,2023-06-08T20:58:52Z,88.0,87.5,339.0,0.0,0.0,0.0,0.0,60.0,48.0,92.0,90.0,27.0,16.0,2.0,3.0,1.0,0.0,0.0,
114,2459.7,437,2023-06-08T15:43:30Z,73.1,92.6,395.0,42.0,0.0,0.0,0.0,76.0,79.0,170.0,65.0,30.0,11.0,3.0,0.0,0.0,3.0,0.0,
115,2238.7,462,2023-06-07T20:59:05Z,77.5,106.4,391.0,71.0,0.0,0.0,0.0,149.0,95.0,116.0,34.0,33.0,7.0,3.0,5.0,12.0,4.0,4.0,
116,2426.3,465,2023-06-07T15:42:56Z,56.9,107.4,401.0,64.0,0.0,0.0,0.0,99.0,129.0,174.0,42.0,10.0,4.0,2.0,1.0,2.0,1.0,1.0,
117,58399.8,7480,2023-06-07T06:33:04Z,129.0,136.7,608.0,6755.0,117.0,0.0,0.0,664.0,460.0,1588.0,2487.0,1090.0,512.0,428.0,131.0,43.0,35.0,42.0,
118,2316.1,431,2023-06-06T22:58:54Z,70.5,104.2,285.0,146.0,0.0,0.0,0.0,98.0,91.0,145.0,57.0,30.0,6.0,1.0,0.0,1.0,0.0,2.0,
119,2502.8,446,2023-06-06T17:46:14Z,73.8,114.0,120.0,326.0,0.0,0.0,0.0,86.0,103.0,151.0,60.0,27.0,8.0,4.0,0.0,0.0,1.0,6.0,
120,3844.8,607,2023-06-05T10:00:00Z,94.4,,,,,,,73.0,67.0,251.0,155.0,10.0,17.0,28.0,4.0,2.0,0.0,0.0,
121,60623.9,7314,2023-06-04T06:18:16Z,164.7,149.3,118.0,4457.0,1569.0,1170.0,0.0,820.0,572.0,996.0,1379.0,1312.0,799.0,431.0,362.0,214.0,177.0,252.0,
122,3950.8,705,2023-06-03T18:26:18Z,78.2,106.9,509.0,196.0,0.0,0.0,0.0,127.0,152.0,261.0,77.0,49.0,6.0,6.0,10.0,7.0,2.0,8.0,
