,Unnamed: 0,resource_state,athlete,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,map,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,kilojoules,device_watts,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,suffer_score,HR Zone 1,HR Zone 2,HR Zone 3,HR Zone 4,HR Zone 5,Power Zone 1,Power Zone 2,Power Zone 3,Power Zone 4,Power Zone 5,Power Zone 6,Power Zone 7,Power Zone 8,Power Zone 9,Power Zone 10,Power Zone 11
623,623,2,"{'id': 3506416, 'resource_state': 1}",Good enough for day 1,47259.6,5632,5795,335.0,Ride,Ride,10.0,2030634523,2018-12-23T01:10:00Z,2018-12-23T06:40:00Z,(GMT+05:30) Asia/Kolkata,19800.0,Pune,MH,India,9,25,3,4,0,"{'id': 'a2030634523', 'summary_polyline': '}u}oBkxiaMeLvx@_OpSiOlHsT|AqV{CwWqRwJeYwFoGoUaIu\\wF_HHqG`DiVx\\qI`GmjKlpCyfJpnCq~Bvl@nfCqq@nxHq|BvoLs~CpJyGzUi\\lGaDxHSp\\bG`ZdLjN{Uhe@`PfDiAzJoLtNqF`S|AjN_C', 'resource_state': 2}",False,False,False,False,everyone,False,b2517905,"[18.508207, 73.789763]","[18.509711, 73.78817]",8.391,15.9,79.2,13.0,138.2,609.0,170.0,778.6,True,True,145.0,188.0,False,True,618.4,526.8,2169943328.0,2169943328.0,garmin_push_3241287896,False,2,0,False,85.0,157.0,3644.0,1096.0,735.0,0.0,575.0,502.0,1061.0,1091.0,1210.0,525.0,328.0,173.0,92.0,38.0,37.0
624,624,2,"{'id': 3506416, 'resource_state': 1}",Morning Ride,24907.6,3600,3600,0.0,Ride,Ride,,2002671655,2018-12-06T05:23:18Z,2018-12-06T10:53:18Z,(GMT+05:30) Asia/Kolkata,19800.0,,,India,0,15,0,1,0,"{'id': 'a2002671655', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b2517905,[],[],6.919,11.4,80.6,21.0,151.2,385.0,195.0,544.2,True,True,147.7,185.0,False,True,631.8,624.2,2140726691.0,2140726691.0,garmin_push_3207279384,False,0,0,False,64.0,216.0,2025.0,928.0,431.0,0.0,24.0,266.0,1007.0,1068.0,318.0,182.0,308.0,391.0,36.0,0.0,0.0
625,625,2,"{'id': 3506416, 'resource_state': 1}",Afternoon Ride,25940.1,3601,3601,0.0,Ride,Ride,,1995916768,2018-12-02T10:15:14Z,2018-12-02T15:45:14Z,(GMT+05:30) Asia/Kolkata,19800.0,,,India,0,16,0,1,0,"{'id': 'a1995916768', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b2517905,[],[],7.204,11.7,80.7,19.0,170.6,378.0,214.0,614.3,True,True,155.6,187.0,False,True,659.0,657.2,2133696393.0,2133696393.0,garmin_push_3199057643,False,0,0,False,91.0,114.0,1355.0,1145.0,987.0,0.0,11.0,402.0,743.0,640.0,379.0,198.0,944.0,266.0,18.0,0.0,0.0
626,626,2,"{'id': 3506416, 'resource_state': 1}",Afternoon Ride,33702.8,4501,4501,0.0,Ride,Ride,,1987523257,2018-11-27T11:39:57Z,2018-11-27T17:09:57Z,(GMT+05:30) Asia/Kolkata,19800.0,,,India,0,18,0,1,0,"{'id': 'a1987523257', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b2517905,[],[],7.488,9.6,81.2,22.0,161.0,286.0,178.0,724.5,True,True,140.0,166.0,False,True,631.8,626.4,2124929036.0,2124929036.0,garmin_push_3188751786,False,0,0,False,55.0,379.0,2779.0,1343.0,0.0,0.0,91.0,49.0,457.0,1276.0,1260.0,1322.0,46.0,0.0,0.0,0.0,0.0
627,627,2,"{'id': 3506416, 'resource_state': 1}",72.5kg,25310.1,3600,3600,0.0,Ride,Ride,10.0,1983904678,2018-11-25T10:56:38Z,2018-11-25T16:26:38Z,(GMT+05:30) Asia/Kolkata,19800.0,,,India,0,16,4,1,0,"{'id': 'a1983904678', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b2517905,[],[],7.031,13.7,80.7,22.0,160.1,546.0,216.0,576.4,True,True,153.4,193.0,False,True,625.0,622.6,2121132127.0,2121132127.0,garmin_push_3184295025,False,0,0,False,83.0,119.0,1891.0,394.0,1078.0,118.0,61.0,375.0,1042.0,452.0,206.0,267.0,1068.0,107.0,3.0,7.0,12.0
628,628,2,"{'id': 3506416, 'resource_state': 1}",Afternoon Ride,28210.2,3601,3601,0.0,Ride,Ride,,1978522631,2018-11-22T10:24:42Z,2018-11-22T15:54:42Z,(GMT+05:30) Asia/Kolkata,19800.0,,,India,0,15,0,1,0,"{'id': 'a1978522631', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b2517905,[],[],7.834,12.8,76.7,23.0,145.4,474.0,189.0,523.7,True,True,150.2,190.0,False,True,633.2,629.4,2115518065.0,2115518065.0,garmin_push_3177763031,False,0,0,False,77.0,434.0,867.0,1880.0,414.0,6.0,920.0,244.0,252.0,164.0,251.0,1297.0,358.0,83.0,21.0,10.0,1.0
629,629,2,"{'id': 3506416, 'resource_state': 1}",Stupid power drops,24936.8,3600,3600,0.0,Ride,Ride,10.0,1975322348,2018-11-20T13:19:28Z,2018-11-20T18:49:28Z,(GMT+05:30) Asia/Kolkata,19800.0,,,India,0,17,0,1,0,"{'id': 'a1975322348', 'summary_polyline': '', 'resource_state': 2}",True,False,False,False,everyone,False,b2517905,[],[],6.927,12.6,85.4,23.0,107.0,430.0,156.0,385.0,True,True,147.8,190.0,False,True,616.0,607.4,2112170508.0,2112170508.0,garmin_push_3173890972,False,0,0,False,65.0,294.0,1772.0,538.0,986.0,10.0,1169.0,226.0,737.0,252.0,176.0,564.0,441.0,21.0,10.0,4.0,0.0
630,630,2,"{'id': 3506416, 'resource_state': 1}",Morning Ride,34060.5,4846,4846,276.0,Ride,Ride,,1970804504,2018-11-18T01:33:23Z,2018-11-18T07:03:23Z,(GMT+05:30) Asia/Kolkata,19800.0,Pune,MH,India,3,21,0,1,0,"{'id': 'a1970804504', 'summary_polyline': 'u|}oBsuiaMeN`DsUsAuM|E}OxNoZmI{JeFoHwK@oFhEaUwBoK_]aLqe@iWe@gQbAm]qJwm@kCar@mGsZEmIr@|KvFdYpCrq@fIbh@I~q@he@nYl]hL|BlHyE~ZxBbJxLpJh^bKnOqNjMeF`XbApIwAlEwCqEjDyIzAmWoAcMnEiMjNmHAwZyKoLsLc@kIjEsVqCyJm\\gK}d@cWo@yKh@ei@oIaf@sC}q@kGi\\OuIv@hLxFnXdCbq@tIdi@q@bh@z@zJ~d@zW~\\pKzB|KmErUBlFpHjKxH`Ef\\fJdOuNpNoF|R|AvNaC', 'resource_state': 2}",False,False,False,False,everyone,False,b2517905,"[18.509611, 73.788207]","[18.509673, 73.788096]",7.029,13.8,78.4,16.0,101.2,943.0,121.0,490.3,True,True,135.2,165.0,False,True,640.2,559.8,2107506760.0,2107506760.0,garmin_push_3168404790,False,1,0,False,39.0,250.0,4234.0,362.0,0.0,0.0,1496.0,52.0,589.0,1329.0,929.0,313.0,93.0,26.0,12.0,3.0,4.0
631,631,2,"{'id': 3506416, 'resource_state': 1}",Morning Ride,46858.8,6577,6962,706.0,Ride,Ride,,1965364996,2018-11-15T00:56:51Z,2018-11-15T06:26:51Z,(GMT+05:30) Asia/Kolkata,19800.0,Pune,MH,India,11,27,0,2,0,"{'id': 'a1965364996', 'summary_polyline': 'ym}oBymkaMpI}C~ID~c@dZjIv@xHgBzMgKns@{hArbCswB~NeUhJyYxx@ivDpt@uInQ_@fk@lU`TkJjDmGlJz@xGcBnE`MxEMhBxBfFYnAnDtDMxGlDlAjEdAq@}AoHl@sCfVsE`M|A~PxL~Fo@nG|BfMSQsFhAy@}@hALnFyMLoG{BaGf@wPmLoM}AmUhEq@|B|AjIcAz@kBwEyFcDcEL}AwD_FZsB_CmERmE_MwG|A}IaAqDfGeN|HeFx@hUuJpDiGjJx@lGeBrEbM|EMbBxBpFShAlDzDMfGbDtAlEfAo@_BeI|@eCxWiErKlBjPtLtGo@|FxB~LQTaH~SeCnHUjJbBdE`DnAfFjMiHhF\\kQ|GeNbS_eAt]u`Ag@e^xFkVlQw]zKgKrOoDxBoG?u[gJoK`Agn@tb@}PzTes@pg@gQfU_wBhjBww@hmAiLdJgInC{Jg@gc@_ZcL@aGnC', 'resource_state': 2}",False,False,False,False,everyone,False,b2517905,"[18.509817, 73.788184]","[18.509677, 73.788108]",7.125,15.8,77.3,16.0,96.7,899.0,128.0,636.2,True,True,137.7,170.0,False,True,952.0,627.0,2101867875.0,2101867875.0,garmin_push_3161974723,False,3,0,False,70.0,758.0,4128.0,1691.0,0.0,0.0,2816.0,143.0,631.0,803.0,782.0,991.0,339.0,56.0,5.0,2.0,9.0
632,632,2,"{'id': 3506416, 'resource_state': 1}",Drafted Rajat and Mahesh,52230.6,6380,7547,381.0,Ride,Ride,10.0,1963526140,2018-11-14T01:00:32Z,2018-11-14T06:30:32Z,(GMT+05:30) Asia/Kolkata,19800.0,Pune,MH,India,4,28,0,3,0,"{'id': 'a1963526140', 'summary_polyline': 'su}oByxiaM}Khx@{NxSyLxGyTbCuYaDqWkRuJ}XcHuHsV{H_[eFiHVgFnC{Ul\\{IrGqqLj_Dw_It_Ck_Cbn@c{@bgAoFdQh@eGfDwHz{@whAlxBqk@lfIgbCtpL}~CvH{ErWe^hGaDnIMz\\dGrTlH|GtH|JdY~VzQ|WxClTwBjMgHfNeSdL{v@', 'resource_state': 2}",False,False,False,False,everyone,False,b2517905,"[18.510416, 73.787858]","[18.509662, 73.788137]",8.187,16.9,79.8,14.0,100.6,1166.0,146.0,641.6,True,True,146.6,185.0,False,True,646.8,555.0,2099992578.0,2099992578.0,garmin_push_3159751515,False,1,0,False,105.0,215.0,4126.0,1228.0,811.0,0.0,2174.0,407.0,950.0,1067.0,913.0,389.0,186.0,137.0,66.0,20.0,71.0
